,,resale_price,resale_price,resale_price
,,mean,min,max
town,flat_type,,,
SEMBAWANG,3 ROOM,293354.2337662338,260000.0,330000.0
SEMBAWANG,4 ROOM,345270.19468277943,280000.0,438000.0
SEMBAWANG,5 ROOM,398991.6751968504,320000.0,508000.0
SEMBAWANG,EXECUTIVE,480637.0643776824,400000.0,605000.0
SENGKANG,2 ROOM,241965.6,196000.0,275000.0
SENGKANG,3 ROOM,339310.27071823203,275000.0,433000.0
SENGKANG,4 ROOM,422209.4941055341,271000.0,610000.0
SENGKANG,5 ROOM,473695.1209736842,345000.0,715000.0
SENGKANG,EXECUTIVE,563119.914556962,430000.0,726000.0
SERANGOON,2 ROOM,211478.0,200000.0,230000.0
SERANGOON,3 ROOM,308919.61572052405,170000.0,435000.0
SERANGOON,4 ROOM,455815.1048387097,275500.0,699000.0
SERANGOON,5 ROOM,560815.0560747663,390000.0,788000.0
SERANGOON,EXECUTIVE,735469.2527472527,585000.0,979000.0
TAMPINES,2 ROOM,265721.2121212121,240000.0,300000.0
TAMPINES,3 ROOM,334748.42342342343,255000.0,510000.0
TAMPINES,4 ROOM,441221.9644295302,330000.0,718000.0
TAMPINES,5 ROOM,550002.0485436893,400000.0,888888.0
TAMPINES,EXECUTIVE,683070.671641791,550000.0,886000.0
TAMPINES,MULTI-GENERATION,848250.0,778000.0,990000.0
TOA PAYOH,2 ROOM,196770.9387755102,150000.0,250000.0
TOA PAYOH,3 ROOM,275893.8983481576,140000.0,645000.0
TOA PAYOH,4 ROOM,565684.6025179856,275000.0,899000.0
TOA PAYOH,5 ROOM,768249.7112860893,460000.0,1160888.0
TOA PAYOH,EXECUTIVE,766826.5365853659,600000.0,1025000.0
WOODLANDS,2 ROOM,220237.76,170000.0,240000.0
WOODLANDS,3 ROOM,261590.00925925927,178000.0,350000.0
WOODLANDS,4 ROOM,336995.80941532255,218000.0,470000.0
WOODLANDS,5 ROOM,406187.57587253413,270000.0,572000.0
WOODLANDS,EXECUTIVE,590662.3242677824,428000.0,840000.0
YISHUN,2 ROOM,220864.07142857142,190000.0,250000.0
YISHUN,3 ROOM,272516.2166666667,205000.0,448000.0
YISHUN,4 ROOM,359630.0184466019,240000.0,625000.0
YISHUN,5 ROOM,471712.53814147017,330000.0,758000.0
YISHUN,EXECUTIVE,578406.8925233645,450000.0,788888.0
YISHUN,MULTI-GENERATION,765245.4736842106,660000.0,868000.0
